,SpeedMinimum,SpeedQ1,SpeedMedian,SpeedQ3,DistanceStartShapeCurvature,DistStartTrendAngle,DistStartTrendDevAmplitude,MaxDistPort,MinDistPort
6034,6.83,12.35,13.01,13.39,1.0,0.19,1.17,33.82,7.78
2449,1.49,13.15,14.12,15.82,1.0,0.24,4.04,35.34,21.27
1137,14.2,14.49,14.95,15.52,1.0,0.25,0.43,53.12,14.93
4209,0.08,2.33,2.62,3.99,1.24,0.03,1.75,5.22,0.12
425,0.01,0.04,0.06,0.07,21.37,0.0,0.01,0.32,0.32
4328,0.0,0.09,0.12,0.16,6.29,0.0,0.02,0.33,0.32
3981,2.61,8.19,9.62,11.23,1.0,0.17,2.73,51.17,27.84
6101,5.98,8.09,10.56,12.29,1.0,0.15,4.32,42.21,21.11
1947,2.59,4.38,4.61,4.93,1.0,0.07,0.4,119.35,106.25
2911,0.02,0.07,0.09,0.11,25.19,0.0,0.01,0.39,0.38
6192,4.72,7.87,15.32,16.47,1.03,0.24,2.15,12.18,0.02
5774,10.06,15.6,15.8,16.25,1.0,0.26,1.63,32.18,1.73
1348,1.19,1.69,1.95,2.25,1.0,0.03,0.55,23.58,17.87
4258,0.03,0.11,0.18,0.24,6.29,0.0,0.04,0.35,0.3
4596,0.0,0.01,0.02,0.02,5.23,0.0,0.0,0.36,0.35
600,0.05,0.09,0.1,0.13,39.53,0.0,0.01,0.24,0.23
1798,13.79,14.35,14.62,14.98,1.0,0.24,1.13,23.44,14.4
4928,9.01,9.55,11.56,15.92,1.42,0.01,13.72,12.98,2.54
4008,7.44,13.37,14.02,14.58,1.0,0.22,1.22,48.28,23.82
1315,0.86,3.54,5.68,6.28,1.8,0.05,5.0,23.17,13.11
5508,3.15,4.84,5.02,5.52,4.47,0.0,2.04,20.15,17.78
2517,3.93,4.31,4.46,4.88,1.61,0.02,3.63,25.05,16.41
1038,0.04,0.2,14.22,15.37,1.01,0.15,12.38,19.56,0.04
783,0.0,0.02,0.03,0.05,18.95,0.0,0.0,0.36,0.35
1268,0.21,1.13,2.17,3.95,1.89,0.0,2.57,19.29,18.62
5977,9.0,15.63,16.39,16.87,1.03,0.28,6.98,6.01,0.66
1413,1.53,1.85,3.13,5.92,2.33,0.02,3.4,32.49,27.44
3685,3.64,5.69,5.88,6.02,1.07,0.1,4.66,73.57,59.88
4091,8.05,14.35,14.81,15.63,1.0,0.25,0.39,39.98,28.25
121,0.82,4.86,5.26,6.04,1.08,0.05,3.04,57.66,48.69
778,0.0,0.02,0.03,0.05,20.7,0.0,0.0,0.36,0.36
984,0.03,0.09,0.14,0.19,31.8,0.0,0.01,0.33,0.32
5870,8.9,13.1,13.52,13.89,1.0,0.24,1.42,34.92,26.61
4873,3.32,17.33,17.63,18.0,1.01,0.31,12.64,21.18,0.13
4244,8.81,14.98,15.18,15.53,1.0,0.27,0.62,37.14,9.57
745,0.0,0.02,0.03,0.05,13.45,0.0,0.0,0.36,0.35
5985,4.54,5.4,5.58,5.92,1.0,0.09,0.16,189.78,178.62
6122,8.27,12.01,12.38,12.9,1.0,0.21,0.96,30.18,6.78
1764,0.08,0.14,0.17,0.2,28.97,0.0,0.01,0.29,0.28
4884,9.04,11.44,12.19,12.62,1.0,0.21,2.83,21.17,13.12
5823,5.1,12.8,12.94,14.12,2.88,0.22,13.66,10.56,3.72
4494,9.39,15.99,16.43,17.26,1.0,0.28,0.8,41.28,0.08
1171,12.15,14.93,15.32,15.93,1.0,0.26,1.21,24.62,1.08
254,0.1,10.02,14.38,14.89,1.0,0.2,9.38,24.29,0.03
5014,7.27,13.51,14.62,15.31,1.0,0.24,1.95,33.27,1.0
1425,0.74,1.8,2.09,2.31,1.29,0.02,1.36,53.12,48.16
2895,0.07,0.12,0.14,0.21,2.53,0.0,0.27,0.42,0.16
176,1.44,1.84,3.19,4.99,1.13,0.04,2.18,71.78,61.0
4687,4.29,5.79,6.24,6.66,1.0,0.1,0.96,34.01,32.99
3529,1.5,2.13,2.38,2.74,1.01,0.03,12.91,47.69,28.92
3978,9.49,10.22,10.95,14.85,1.0,0.22,4.06,27.84,10.48
3499,0.76,1.05,1.64,5.98,1.1,0.03,4.53,22.77,19.01
4693,0.71,2.03,4.73,7.58,2.4,0.0,3.62,35.8,30.94
4117,0.0,0.01,0.01,0.02,7.34,0.0,0.0,0.36,0.36
82,1.93,4.34,4.94,6.6,1.0,0.1,3.05,51.6,37.06
5619,0.13,0.3,0.4,0.52,10.01,0.0,0.11,0.36,0.33
2794,0.14,0.3,0.38,0.49,37.5,0.0,0.02,0.46,0.44
5843,9.81,15.44,15.78,16.23,1.0,0.27,0.52,31.94,4.48
805,0.01,0.03,0.03,0.04,38.05,0.0,0.0,0.35,0.35
4301,0.03,0.12,0.26,0.44,5.68,0.0,0.11,0.41,0.27
3043,11.78,15.25,16.82,17.47,1.0,0.28,1.34,35.16,24.61
2094,0.0,15.41,15.97,16.53,1.02,0.27,21.32,20.4,0.1
1878,0.74,1.2,1.32,1.48,1.34,0.13,18.54,150.71,145.04
141,0.05,0.09,0.11,0.13,45.83,0.0,0.01,0.4,0.4
4379,5.84,16.27,16.93,18.8,1.0,0.28,9.91,7.71,0.29
4970,10.08,13.07,13.51,14.04,1.0,0.23,0.63,59.75,31.58
2000,0.0,0.07,0.1,0.14,19.18,0.0,0.01,0.23,0.22
4712,0.22,0.32,0.65,0.72,1.75,0.01,1.61,19.85,18.41
1318,1.19,2.37,2.57,2.74,1.01,0.04,0.28,21.53,14.3
4957,0.0,0.03,0.04,0.06,4.04,0.0,0.0,0.38,0.37
3550,0.55,1.59,2.21,2.47,1.44,0.01,3.7,39.04,34.75
1058,13.99,15.48,15.73,16.21,1.0,0.27,0.19,15.53,4.16
5260,9.29,13.92,14.17,14.66,1.01,0.25,1.92,27.21,0.04
3828,7.39,12.61,13.09,13.64,1.0,0.22,1.32,23.45,6.49
5372,2.13,4.36,4.92,5.73,4.53,0.0,2.27,20.01,17.76
1417,0.51,2.0,2.33,2.48,1.15,0.03,1.83,39.81,33.62
515,0.03,16.44,17.0,17.61,1.02,0.29,5.54,23.26,0.0
2825,11.6,12.95,13.79,14.58,1.0,0.23,1.67,34.9,20.08
3244,0.0,0.02,0.03,0.04,26.9,0.0,0.0,0.36,0.36
1199,0.61,1.55,2.23,2.34,1.17,0.02,2.26,28.89,24.88
2169,0.95,3.99,4.47,5.43,1.72,0.02,7.13,22.52,14.82
2310,2.04,4.57,5.78,6.51,1.54,-0.02,6.97,27.21,21.94
357,0.0,0.05,0.12,14.5,1.09,0.01,4.39,4.58,0.01
3022,0.01,0.05,0.07,0.09,25.63,0.0,0.0,0.39,0.38
5812,3.56,5.13,5.86,6.26,1.52,0.01,9.9,209.63,199.02
4498,9.91,14.61,14.95,15.3,1.0,0.26,0.59,40.09,4.75
6142,10.61,11.92,12.17,12.61,1.0,0.21,1.35,40.37,24.26
3638,0.08,0.16,0.2,0.28,65.4,0.0,0.01,0.24,0.22
3630,0.04,0.1,0.12,0.21,3.26,0.0,0.12,0.32,0.22
2254,3.13,4.98,5.45,5.77,3.32,0.0,4.16,20.38,17.81
838,0.05,0.11,0.13,0.17,35.87,0.0,0.01,0.36,0.34
6024,0.66,9.05,14.55,15.36,3.44,-0.01,10.71,20.18,12.49
1739,0.68,1.86,2.29,2.91,1.01,0.05,11.15,40.56,36.69
6097,10.99,12.2,12.31,12.6,1.0,0.22,0.2,20.95,15.1
5173,0.01,14.75,15.08,15.51,1.65,0.06,13.4,14.29,0.3
1194,11.94,16.14,16.61,17.09,1.0,0.29,0.59,28.36,4.67
3217,0.03,0.07,0.09,0.12,17.61,0.0,0.01,0.22,0.21
3858,10.57,15.01,15.33,15.9,1.0,0.27,1.79,31.67,0.56
232,0.05,0.12,0.14,0.18,41.86,0.0,0.01,0.34,0.33
5476,2.2,4.98,11.19,12.54,1.19,0.1,11.03,36.27,18.83
5175,3.31,14.7,14.97,15.83,1.55,0.08,7.15,13.9,0.1
3020,0.01,0.06,0.08,0.11,29.37,0.0,0.01,0.39,0.38
4275,2.43,3.4,6.75,8.48,1.0,0.09,7.74,18.01,0.51
2361,0.81,4.66,4.77,4.97,1.02,0.07,1.15,26.58,20.96
1355,1.07,1.86,2.17,2.47,1.77,0.02,1.7,37.79,33.63
2898,0.01,0.11,0.15,0.22,1.04,0.0,5.88,6.01,0.11
1462,0.46,1.82,2.03,2.82,1.02,0.03,1.16,60.7,55.73
2183,1.92,4.17,5.35,5.96,1.65,0.0,4.98,25.4,22.05
1818,11.14,17.48,17.79,18.17,1.0,0.28,5.6,18.83,2.21
3136,11.21,15.45,15.92,16.26,1.0,0.26,1.73,28.1,1.72
1424,0.74,1.76,2.1,2.3,1.63,0.02,2.3,51.63,47.14
1970,2.03,2.85,3.5,5.44,1.19,0.01,8.22,87.41,77.72
6066,0.01,0.11,0.13,0.18,7.82,0.0,0.04,0.37,0.33
3371,1.58,4.32,7.04,15.78,1.25,0.1,15.2,30.51,16.43
820,11.44,12.09,14.3,17.0,1.0,0.28,1.71,59.21,30.82
886,0.01,0.13,0.17,0.26,3.15,0.0,0.07,0.37,0.29
393,0.02,13.82,14.18,14.48,1.0,0.23,11.04,22.12,0.02
4215,6.56,14.85,15.12,15.54,1.0,0.26,1.78,31.97,0.03
1780,1.97,4.04,4.4,5.99,1.01,0.05,1.92,103.21,101.83
2462,2.6,5.2,5.43,5.71,2.57,0.02,5.24,27.88,19.87
4055,10.37,11.05,11.48,12.19,1.0,0.19,1.46,44.69,21.73
5605,9.37,16.23,17.06,18.23,1.0,0.29,1.37,35.32,21.35
5626,0.16,0.36,0.44,0.58,9.39,0.0,0.14,0.46,0.39
2791,0.01,0.27,0.34,0.43,21.77,0.0,0.04,0.45,0.42
476,0.01,0.04,0.06,0.07,34.09,0.0,0.0,0.39,0.39
4304,0.05,0.15,0.2,0.34,12.55,0.0,0.05,0.42,0.39
456,0.03,0.04,0.05,0.06,34.71,0.0,0.0,0.39,0.39
108,0.01,0.05,0.08,0.11,15.63,0.0,0.0,0.34,0.33
1883,3.58,4.66,4.92,5.26,1.0,0.07,0.72,65.22,51.99
762,0.01,0.03,0.04,0.05,40.55,0.0,0.0,0.36,0.36
3036,0.0,0.13,16.36,17.3,1.05,0.02,4.88,5.97,0.05
2001,0.02,0.05,0.06,0.11,2.77,0.0,0.02,0.24,0.22
2198,1.61,4.29,4.43,4.67,1.47,0.04,3.75,25.03,16.45
789,0.01,0.05,13.97,14.4,1.01,0.07,8.99,13.25,0.03
5222,0.09,11.71,14.04,15.53,2.32,0.08,14.2,15.4,11.91
2319,2.37,3.96,4.18,4.47,1.0,0.04,4.07,27.02,22.93
11,0.01,0.08,0.1,0.13,42.5,0.0,0.0,0.32,0.32
4548,0.6,1.49,2.24,2.48,1.0,0.03,0.15,10.22,8.15
1138,15.65,15.83,16.34,17.44,1.0,0.28,0.35,40.79,17.55
3692,2.33,5.16,5.45,5.79,1.19,0.07,5.12,59.74,51.88
2419,0.92,5.04,5.32,5.8,1.86,0.0,6.66,27.57,21.02
6194,9.35,10.56,13.26,13.55,1.0,0.2,4.99,35.57,13.92
4818,9.4,15.3,16.04,16.88,1.0,0.27,0.48,62.08,44.95
1278,3.54,7.88,12.83,14.38,1.2,0.11,10.44,48.93,32.52
6007,2.06,4.8,5.33,12.73,1.0,0.09,7.49,145.03,134.73
672,0.01,0.03,0.04,0.05,31.97,0.0,0.0,0.36,0.36
2486,3.18,5.14,5.52,5.74,1.0,0.09,4.91,26.82,19.04
2703,3.06,5.62,5.8,6.08,1.0,0.09,1.17,60.38,50.09
4721,0.89,1.52,1.8,9.25,1.0,0.04,1.33,50.9,45.63
1944,3.33,4.81,5.22,5.68,1.0,0.08,0.07,102.14,95.15
1905,12.0,15.52,16.05,17.31,1.0,0.26,0.82,44.66,5.29
2025,0.03,0.1,0.14,0.17,2.74,0.0,0.07,0.26,0.22
3564,0.08,13.24,13.41,13.76,1.01,0.23,6.14,21.58,0.02
4638,0.72,1.89,2.28,2.95,2.54,0.01,2.53,21.78,18.85
3181,0.0,0.04,0.07,1.3,1.14,0.0,2.65,2.64,0.01
3741,1.72,5.17,5.55,6.46,1.23,0.02,9.6,26.06,12.6
4388,12.24,14.55,14.85,15.2,1.0,0.25,0.68,26.69,0.29
588,0.06,0.09,0.11,0.12,37.24,0.0,0.01,0.24,0.23
700,0.0,0.02,0.03,0.04,29.74,0.0,0.0,0.36,0.36
4908,8.3,15.23,15.43,15.76,1.0,0.25,3.82,20.13,9.17
77,12.34,14.37,14.77,15.47,1.0,0.25,0.47,41.31,26.79
5018,3.2,6.82,7.47,8.66,1.0,0.11,3.69,44.83,41.64
2638,2.78,5.13,5.26,5.45,1.0,0.07,0.6,26.53,15.49
669,0.0,0.04,0.05,0.06,3.67,0.0,0.05,0.36,0.32
5579,6.6,8.34,9.01,11.09,1.0,0.16,8.54,32.4,3.37
3469,13.41,14.05,14.33,14.79,1.0,0.23,3.21,35.61,29.88
5923,9.36,12.75,14.29,15.16,1.0,0.24,1.28,34.08,22.61
3785,0.01,8.94,10.57,10.78,1.04,0.17,4.44,12.96,0.03
2362,1.74,4.96,5.28,6.62,1.35,0.05,3.84,26.58,21.77
119,2.85,4.23,5.5,6.26,1.02,0.09,1.95,54.13,37.68
2248,3.0,4.89,5.2,5.52,3.62,0.0,3.69,20.33,17.75
3556,3.2,4.47,4.95,5.14,1.02,0.07,0.99,46.82,40.05
274,0.04,0.11,0.18,15.56,1.01,0.07,12.89,17.33,0.03
5800,0.64,7.59,11.56,12.47,1.18,0.11,14.3,24.06,19.14
1396,0.5,1.3,1.64,2.24,1.01,0.02,1.11,39.04,33.96
5805,4.37,11.88,13.13,13.57,1.01,0.09,1.56,23.65,17.69
4582,1.27,2.26,2.6,2.82,2.08,0.01,4.57,17.44,9.54
260,0.0,0.11,8.15,16.33,1.07,0.02,5.75,6.22,0.02
1633,0.89,1.53,1.85,2.22,1.0,0.04,0.31,46.9,42.7
3245,0.01,0.03,0.06,11.39,1.01,0.02,4.88,5.75,0.03
5571,3.06,5.89,6.16,6.65,1.65,-0.05,10.94,24.63,20.89
3826,0.01,0.06,0.09,0.15,10.63,0.0,0.01,0.34,0.33
4809,6.46,11.68,12.32,12.75,1.0,0.21,1.52,56.52,44.37
2990,0.06,0.11,0.13,0.18,17.97,0.0,0.02,0.39,0.38
5682,6.62,14.77,15.11,15.44,1.0,0.26,1.81,38.29,17.96
4136,7.84,9.78,10.01,10.21,1.0,0.17,0.73,23.46,16.32
3230,0.06,0.1,0.12,0.14,18.32,0.0,0.0,0.32,0.31
2879,1.2,3.7,3.86,5.17,1.19,0.06,4.54,92.33,86.75
5806,1.56,5.51,6.26,7.02,2.22,0.0,2.01,25.6,21.87
215,0.03,0.11,15.03,15.52,1.01,0.07,9.89,12.23,0.03
1587,0.29,1.52,2.18,2.39,1.0,0.04,2.45,53.93,50.96
1231,1.5,2.07,2.31,2.69,1.0,0.04,0.44,52.91,48.22
3819,9.04,15.87,16.11,16.45,1.0,0.28,0.94,46.13,18.91
392,0.02,4.29,10.73,14.28,1.99,0.0,12.79,18.3,0.01
27,0.0,0.18,0.32,14.97,1.61,0.01,5.25,5.58,0.03
4799,0.79,1.76,2.13,12.25,1.17,0.07,10.59,13.05,0.69
752,0.01,0.03,0.05,0.07,30.92,0.0,0.0,0.36,0.35
1810,11.74,14.43,14.86,15.81,1.0,0.24,2.84,23.65,12.45
1476,3.51,4.6,5.14,5.74,3.37,0.01,4.05,20.62,15.01
478,0.03,0.05,0.06,0.06,26.58,0.0,0.0,0.39,0.39
5761,8.66,15.55,15.9,16.23,1.0,0.28,0.63,34.8,25.48
3496,2.07,2.93,3.49,14.24,1.33,0.03,14.38,30.26,18.59
145,0.03,0.08,4.57,17.31,1.01,0.07,11.39,16.38,0.1
5027,8.85,9.89,10.71,16.14,1.0,0.24,0.57,5.99,0.07
909,13.26,14.83,15.16,15.59,1.0,0.26,0.52,34.85,24.48
4456,0.05,0.13,0.18,0.31,1.03,0.0,5.04,4.56,0.31
5342,3.73,5.55,5.76,6.06,1.0,0.08,1.19,218.39,205.76
4899,7.85,14.05,15.95,16.19,1.0,0.25,9.46,19.56,3.35
1558,0.93,2.17,2.46,2.79,1.07,0.04,0.63,22.5,19.07
2667,0.78,5.01,5.53,5.97,1.16,0.05,4.04,26.75,21.25
3435,0.0,0.05,0.08,0.12,21.13,0.0,0.01,0.33,0.32
6037,9.01,10.16,10.75,11.72,1.0,0.18,1.93,9.72,2.06
4610,0.39,1.99,2.39,2.72,1.42,0.09,14.92,20.51,10.17
2485,3.49,5.15,5.62,5.85,1.02,0.07,1.77,26.54,14.89
5056,0.94,3.82,5.96,7.44,1.0,0.09,4.01,16.92,2.59
2151,1.28,4.99,13.03,13.92,1.29,0.15,15.92,34.16,29.66
4216,7.79,14.77,15.01,15.34,1.0,0.26,0.56,40.81,14.58
5270,8.41,15.0,15.38,16.15,1.0,0.27,1.05,51.08,20.63
2180,4.14,5.09,5.27,5.5,1.05,0.09,4.35,28.04,23.81
2331,2.44,4.87,5.29,5.7,3.25,0.0,4.11,23.15,17.79
4713,8.63,16.14,16.45,16.86,1.0,0.27,0.28,34.77,6.06
563,0.03,0.06,0.08,0.09,37.56,0.0,0.0,0.24,0.23
4137,4.79,9.59,9.93,10.17,1.0,0.17,1.21,31.54,17.56
4184,0.02,0.08,0.11,0.16,12.53,0.0,0.02,0.36,0.34
921,0.01,0.04,0.06,0.1,3.87,0.0,0.04,0.35,0.32
5520,4.83,5.18,5.33,5.49,1.0,0.08,1.45,26.59,16.72
969,0.03,0.19,9.16,11.56,1.05,0.06,8.05,12.22,0.01
1212,0.62,1.29,1.78,2.16,1.04,0.02,2.33,48.63,43.21
4995,9.48,16.18,16.84,17.75,1.0,0.27,0.8,33.24,3.25
3664,0.61,1.23,1.6,2.69,1.63,0.01,0.92,87.16,84.19
913,0.73,1.08,1.35,2.58,1.12,0.02,2.12,5.99,0.01
4621,1.12,1.32,5.84,7.55,1.27,0.03,5.03,35.98,31.04
4676,3.79,16.47,17.43,18.25,1.36,0.28,23.75,59.34,43.05
4146,4.53,9.04,9.27,9.49,1.0,0.14,3.61,31.13,8.26
2815,0.11,0.24,0.31,0.39,30.83,0.0,0.03,0.45,0.43
2411,3.95,5.05,5.18,5.37,1.15,0.07,4.58,27.06,20.06
5038,8.62,11.99,15.47,16.45,1.0,0.27,0.04,13.09,1.26
723,0.01,0.04,0.05,0.06,26.07,0.0,0.0,0.36,0.36
2126,0.03,0.05,0.08,0.12,1.5,0.0,0.12,0.39,0.28
6151,10.01,14.73,15.96,16.81,1.0,0.25,0.1,35.98,34.36
5418,2.01,4.89,5.49,5.81,4.94,0.0,2.78,20.34,17.77
5058,1.16,11.0,13.09,13.57,1.63,0.06,12.15,22.37,15.56
2123,0.0,0.04,0.06,0.08,13.77,0.0,0.0,0.35,0.35
1027,0.0,3.26,15.95,16.68,1.0,0.21,19.69,16.99,0.03
597,0.05,0.09,0.11,0.12,51.7,0.0,0.0,0.24,0.23
3386,0.36,2.05,2.29,2.54,1.13,0.03,1.6,29.9,26.88
6,0.01,0.06,0.08,0.11,18.65,0.0,0.01,0.32,0.32
1061,10.57,15.33,15.76,16.31,1.0,0.27,0.22,21.86,12.83
4077,9.14,17.21,17.61,17.98,1.0,0.3,3.5,44.44,19.22
1449,0.81,2.18,2.36,2.81,1.0,0.03,0.55,42.52,37.93
5857,15.85,17.66,18.29,18.95,1.0,0.3,0.1,30.71,18.69
1570,2.17,2.42,2.63,2.8,1.0,0.04,0.13,26.18,23.41
997,0.3,15.56,15.98,16.39,1.02,0.28,4.76,24.98,0.03
5700,1.17,5.59,6.37,9.58,1.58,0.02,4.48,87.15,82.56
3227,0.05,0.1,0.12,0.14,59.42,0.0,0.0,0.32,0.31
5538,1.66,4.79,5.3,5.68,3.65,0.0,3.01,20.09,17.82
1017,0.0,0.09,0.1,0.13,16.23,0.0,0.01,0.38,0.37
4988,8.77,16.54,17.25,18.27,1.0,0.28,0.66,50.12,10.79
4129,9.03,9.51,10.16,14.29,1.0,0.14,6.89,33.23,20.98
653,0.01,0.06,0.08,0.1,32.31,0.0,0.01,0.24,0.23
4010,7.44,13.5,14.03,14.52,1.0,0.24,0.28,48.28,40.94
4506,16.06,16.98,17.19,18.63,1.0,0.29,0.03,22.84,17.45
1467,0.84,1.87,2.09,2.36,1.0,0.03,0.13,51.8,46.43
5449,1.96,4.63,4.97,5.66,4.71,0.0,2.11,19.85,17.78
48,0.0,0.06,13.41,15.77,1.01,0.03,5.65,4.96,0.02
318,11.48,14.74,15.04,15.39,1.0,0.26,0.75,24.56,17.92
919,12.2,13.69,14.07,14.92,1.0,0.24,0.08,25.85,22.29
3400,1.64,2.15,2.31,2.44,1.0,0.04,0.2,23.32,15.86
1609,0.86,1.44,1.7,2.29,1.61,0.03,2.8,47.62,43.32
2788,0.09,0.23,0.28,0.5,43.36,0.0,0.02,0.46,0.43
2715,11.39,13.59,15.15,16.08,1.0,0.25,4.41,35.31,19.79
1950,2.92,4.19,4.7,5.24,1.25,0.05,5.76,128.18,119.15
3133,0.06,0.1,0.12,0.19,1.14,0.0,1.83,1.72,0.05
2926,0.03,0.09,0.11,0.14,41.28,0.0,0.01,0.39,0.38
6156,3.17,6.22,6.76,11.88,1.0,0.09,6.74,43.27,24.44
3738,1.72,4.01,4.96,5.52,2.99,-0.01,3.54,26.59,23.64
3236,13.43,14.56,14.98,15.51,1.0,0.26,0.88,24.63,18.49
3798,1.3,4.93,5.18,8.31,1.54,-0.04,14.09,60.43,54.13
5989,9.24,15.33,16.3,17.09,1.0,0.26,0.33,15.52,6.94
4982,8.89,16.58,17.39,18.25,1.0,0.28,0.66,47.27,6.57
5891,10.55,14.77,14.99,15.31,1.0,0.25,0.49,33.31,26.09
4798,1.05,2.67,12.59,15.08,1.76,0.02,7.43,13.84,5.62
3265,13.1,14.5,15.22,15.87,1.0,0.25,0.18,28.89,22.61
1215,0.83,16.24,17.02,17.86,1.04,0.29,24.3,45.22,24.26
4597,9.77,13.52,14.81,15.32,1.03,0.23,9.67,32.52,6.79
5069,7.6,13.75,14.03,14.35,1.67,-0.07,30.25,17.64,7.93
3056,3.23,4.86,5.13,6.09,1.66,0.05,8.95,28.37,21.77
518,0.05,7.8,10.28,11.43,1.0,0.14,3.64,17.63,0.01
1724,1.05,2.05,2.44,2.72,1.5,0.02,2.1,40.05,35.24
5077,7.21,13.34,13.7,14.8,1.96,0.03,6.52,14.12,1.63
2342,2.47,4.65,5.2,5.54,4.29,0.0,3.83,19.87,17.58
3301,2.69,4.59,4.74,5.01,1.0,0.08,0.57,110.12,106.36
1375,1.7,2.11,2.47,2.74,1.0,0.04,0.45,23.4,17.43
2954,0.0,0.09,0.12,0.15,20.57,0.0,0.01,0.39,0.38
4862,12.48,14.41,14.68,15.02,1.0,0.24,0.53,21.44,0.44
5486,1.22,5.06,5.28,14.12,1.0,0.11,6.15,26.96,20.43
2886,3.26,4.75,5.02,5.34,1.0,0.08,0.86,73.93,69.52
268,0.01,0.05,0.09,0.11,3.21,0.0,0.07,0.36,0.32
4730,1.16,2.14,2.25,7.13,1.01,0.08,12.74,29.86,18.08
5850,8.93,16.03,16.33,16.61,1.0,0.29,0.16,32.26,28.78
107,0.01,0.03,0.09,0.11,2.13,0.0,0.04,0.36,0.33
3477,2.3,5.11,5.78,6.5,1.56,0.07,6.84,34.57,30.92
4325,0.01,0.16,3.15,9.76,1.1,0.04,6.7,8.13,0.01
3129,0.0,0.09,0.11,0.15,35.62,0.0,0.01,0.36,0.36
4481,8.09,15.74,16.12,16.69,1.0,0.28,0.16,32.4,4.8
2779,0.11,0.27,0.39,0.53,32.45,0.0,0.03,0.46,0.42
2573,2.88,3.97,4.29,4.48,1.4,-0.03,10.57,27.49,21.65
3226,0.05,0.09,0.1,0.13,51.79,0.0,0.0,0.32,0.31
632,0.04,0.08,0.09,0.12,56.13,0.0,0.0,0.24,0.23
3206,11.42,14.86,15.94,17.03,1.0,0.25,0.11,18.78,15.88
602,0.01,0.08,0.09,0.12,30.4,0.0,0.01,0.24,0.23
3489,0.85,2.46,3.35,14.45,1.37,0.03,1.28,30.72,25.22
4241,0.0,0.09,0.12,0.15,6.34,0.0,0.03,0.35,0.31
1694,1.71,2.28,2.47,2.6,1.01,0.04,0.33,23.63,20.46
1158,11.92,13.5,13.78,14.04,1.0,0.24,1.78,42.8,13.12
2558,2.99,4.47,4.69,5.07,1.71,0.0,5.67,27.44,21.3
4724,6.95,11.99,17.22,18.17,1.86,0.15,12.86,44.39,26.29
4528,0.3,0.51,0.65,0.83,1.01,0.01,0.36,32.34,31.1
4278,0.02,0.13,0.19,0.27,8.24,0.0,0.09,0.38,0.31
438,3.84,4.65,4.87,5.19,2.61,-0.02,11.41,47.65,35.45
3820,7.13,15.57,16.03,16.32,1.0,0.26,3.01,33.54,14.32
6205,0.4,1.52,1.89,7.37,1.0,0.02,1.32,77.0,74.9
4012,9.12,16.29,16.67,17.01,1.0,0.29,2.22,45.26,21.43
609,0.07,0.11,0.13,0.15,68.11,0.0,0.0,0.24,0.23
2855,1.19,1.95,1.99,2.11,2.08,0.02,2.61,80.41,79.45
2835,13.76,17.09,17.41,18.24,1.0,0.3,1.57,31.18,11.98
3231,0.02,0.04,0.05,0.07,41.53,0.0,0.0,0.32,0.32
5922,10.92,12.65,12.93,13.31,1.0,0.22,2.88,32.48,5.64
1055,14.28,15.9,16.33,16.96,1.0,0.28,0.15,28.29,16.38
4733,10.1,17.76,18.25,18.84,1.0,0.31,0.78,34.7,6.75
1354,0.8,1.71,2.09,2.4,2.19,0.02,2.17,36.95,33.01
3127,0.0,0.09,0.11,0.14,34.41,0.0,0.01,0.36,0.35
6050,3.09,4.26,4.4,7.72,1.76,-0.03,14.38,25.45,16.43
1603,0.94,1.74,2.04,2.4,1.0,0.03,0.8,59.97,53.33
3589,0.01,0.09,0.12,0.15,36.26,0.0,0.01,0.32,0.32
4889,10.45,15.71,15.8,16.46,1.0,0.28,1.89,9.89,2.17
1808,13.42,17.32,17.6,18.0,1.0,0.31,5.03,21.19,9.59
5091,7.47,12.71,12.98,13.81,1.77,0.16,29.52,16.21,2.26
4340,8.02,13.79,14.38,14.68,1.0,0.24,2.07,32.54,0.53
2981,0.0,0.07,0.11,0.12,27.9,0.0,0.01,0.39,0.38
3889,9.97,14.6,14.94,15.35,1.0,0.26,1.0,32.73,7.77
1920,1.71,3.23,4.65,5.02,1.0,0.07,0.95,88.61,80.58
303,0.03,0.07,0.1,0.14,65.96,0.0,0.0,0.31,0.3
676,0.0,0.03,0.04,0.05,27.6,0.0,0.0,0.36,0.36
1550,1.12,2.09,2.27,3.37,1.89,0.03,1.9,52.42,47.2
4005,7.74,10.4,13.79,15.35,1.0,0.23,3.0,34.58,18.9
2802,0.12,0.25,0.32,0.42,44.58,0.0,0.02,0.46,0.44
4094,8.0,15.65,15.83,16.04,1.0,0.26,2.37,29.17,17.45
3576,0.31,12.63,13.01,13.21,1.02,0.23,6.14,21.11,0.01
2192,1.17,4.32,4.46,4.73,1.0,0.02,6.84,26.82,22.07
5747,0.0,0.08,0.13,0.14,11.52,0.0,0.01,0.39,0.38
41,0.01,0.06,0.08,0.11,42.5,0.0,0.0,0.33,0.32
1549,0.98,2.05,2.35,3.79,1.91,0.02,3.29,53.28,48.73
1264,0.18,1.8,2.1,2.63,1.07,0.02,0.99,38.72,33.77
1663,0.22,1.45,1.97,2.23,1.0,0.04,0.37,33.8,30.81
6069,1.88,2.4,5.69,8.83,1.12,0.05,9.21,124.55,111.97
2924,0.01,0.09,0.11,0.13,43.61,0.0,0.01,0.39,0.38
4351,13.76,15.33,15.79,16.23,1.0,0.27,0.56,28.29,0.11
